spectrum_index,density_score,group_label
57,0.2972417251410522,0
67,0.3274697004933574,0
91,0.20233198253479595,0
116,0.20907319892805162,0
181,0.29094727668981935,0
209,0.11525132841434696,0
407,0.28099818058491005,0
584,0.11701875282384229,0
588,0.2712877870789197,0
709,0.2955664969088832,0
737,0.23213483583605882,0
766,0.12221761205190676,0
809,0.1270932758912555,0
828,0.1214480693843628,0
879,0.34298265901020875,0
909,0.2658531010483139,0
968,0.1219779818770724,0
973,0.42022434035183526,0
1071,0.3114226524298569,0
1139,0.12784896280612243,0
1162,0.2646000607614981,0
1260,0.29576536232618544,0
1345,0.36098368653594964,0
1440,0.2199587424226585,0
1485,0.11965881439741652,0
1507,0.12183134950850569,0
1601,0.3024184178012412,0
1618,0.32210410120001576,0
1621,0.2404985282086678,0
1623,0.26948206743530606,0
1772,0.2920614801816006,0
1875,0.3284691291195542,0
1924,0.3030187919442723,0
1940,0.2858296879741548,0
1976,0.11328358673508507,0
2003,0.2893874599990851,0
2048,0.2285191645360824,0
2075,0.22779972838942297,0
2147,0.36152308548915135,0
2169,0.25009314310523145,0
2205,0.3181138999881281,0
2285,0.36380312343024235,0
2432,0.25743945328193435,0
2447,0.2708005945972986,0
2461,0.24924490625558776,0
2465,0.206573919236949,0
2505,0.30648084673365844,0
2515,0.37639483540975255,0
2556,0.28532719286235214,0
2569,0.337499668881622,0
2597,0.3230534033038574,0
2640,0.2852604010856847,0
2654,0.19179633755175737,0
2704,0.3315137466944788,0
2735,0.35438637744221285,0
2798,0.2700612228330632,0
2852,0.23023132772907245,0
2969,0.22817012942238254,0
2972,0.25103033030390093,0
3006,0.23407305773513082,0
3013,0.24471797413735538,0
3024,0.30090684842399623,0
3345,0.32807886700879824,0
3414,0.31180803788361083,0
3465,0.25773504102314154,0
3497,0.20087164504252242,0
3581,0.2650257441780326,0
3620,0.21566547959497892,0
3630,0.2339869493837892,0
3671,0.24830516626694743,0
3681,0.29716454439205986,0
3686,0.32091165725116044,0
3707,0.3245498987855316,0
3758,0.26275814461140024,0
3877,0.347199001649233,0
3908,0.19991026900557504,0
3959,0.3027487077757246,0
4039,0.344558533557388,0
4069,0.3311758116612543,0
4074,0.31271715827300905,0
4128,0.303790648628305,0
4168,0.34175919454842174,0
4182,0.2685173980580749,0
4249,0.39708883595785704,0
4273,0.28762694956683665,0
4286,0.3211940507441394,0
4397,0.2718873341137503,0
4418,0.31479327570141896,0
4450,0.3193622306625337,0
4503,0.3393309109203125,0
4506,0.35629373557073546,0
4552,0.31953586460023664,0
4610,0.32773221952044623,0
4638,0.3550481937910669,0
4687,0.23847581763246312,0
4819,0.2871873193954462,0
4839,0.3520308217659569,0
4917,0.2958929173844172,0
4941,0.33649336049003237,0
4998,0.32761509637801595,0
5020,0.3091483098592847,0
5080,0.3845519073295241,0
5175,0.25093202315229945,0
5360,0.35112705792925397,0
5423,0.35034089774821636,0
5467,0.30308777302397394,0
5562,0.33873320588767386,0
5620,0.3410802128443238,0
5730,0.2424552768046068,0
5791,0.3198716115904681,0
5938,0.35760449500654395,0
6087,0.21783880099909816,0
6147,0.27013434950930726,0
6205,0.34447090315950135,0
6326,0.34252311614384884,0
6550,0.3080694493041477,0
6572,0.3085443040302617,0
6583,0.289322641661437,0
6587,0.3662597568862912,0
6622,0.3407627138562658,0
6640,0.2793843489347392,0
6684,0.33373465185992124,0
6846,0.30585491043855134,0
6863,0.3562024083286996,0
6973,0.3226114291529617,0
7011,0.31993418102118504,0
7056,0.20976943378941193,0
7074,0.3379437585353016,0
7192,0.3665929093938559,0
7223,0.3755853107286048,0
7278,0.31150952590810144,0
7295,0.31776271503453574,0
7330,0.3320355121469721,0
7337,0.3335409635713544,0
7360,0.3519089327705402,0
7386,0.3584383341309945,0
7415,0.26658700568347216,0
7423,0.28728036588345385,0
7448,0.34112443070853476,0
7533,0.2799366865684733,0
7551,0.3768892010334858,0
7557,0.2710851506969725,0
7610,0.32158912952339275,0
7662,0.35549109603420537,0
7678,0.3291784485867397,0
7765,0.30978377898699255,0
7781,0.3751742322750895,0
8040,0.2985713740335778,0
8163,0.330425708565638,0
8292,0.23184298798369823,0
8308,0.26835442069355786,0
8400,0.3280630879820124,0
8443,0.14817281016300518,0
8449,0.2745850774534024,0
8463,0.33970703566187493,0
8565,0.33603493638367915,0
8584,0.3718342808805624,0
8606,0.3365983089383855,0
8674,0.2804499385468662,0
8811,0.19592996354359873,0
9013,0.3314288251014627,0
9043,0.36032352370521126,0
9074,0.30443138827969524,0
9084,0.3214274722740236,0
9236,0.3134927860029413,0
9274,0.26438019710693217,0
9292,0.33723120986443483,0
9327,0.3688261696915153,0
9338,0.3387367485515652,0
9354,0.3003887847770159,0
9390,0.3505303271499608,0
9407,0.29000782694721283,0
9476,0.3262255057421911,0
9479,0.23427196187933041,0
9483,0.3071487542999997,0
9533,0.24965763698697546,0
9560,0.24777874246030973,0
9569,0.1433150304306077,0
9621,0.32360802754841966,0
9685,0.2836035906480644,0
