spectrum_index,density_score,group_label
0,0.8007888018967659,0
1,1.0518810332162631,0
2,0.9168606925743268,0
3,0.7159959702625099,0
4,0.514048743400325,0
5,0.36719618299480933,0
6,0.4626738148303787,0
7,0.4931254053932735,0
8,0.4067302420897926,0
9,0.4576884343433456,0
10,0.4887732015265585,0
11,0.36273646753324473,0
12,0.4788621242997956,0
13,0.4927102956912095,0
14,0.4153568170913537,0
15,0.30053852112259355,0
16,0.590296575297261,0
17,0.468174456059696,0
18,0.35755339326354296,0
19,0.42819821228667465,0
20,0.4302683917968147,0
21,0.3834605134900092,0
22,0.5993155623619126,0
23,0.4830194186104534,0
24,0.38327232763640406,0
25,0.348130548291603,0
26,0.40424360251593233,0
27,0.4880079260984297,0
28,0.345819645287646,0
29,0.5928219734329707,0
30,0.3870128206375047,0
31,0.3784637144458762,0
32,0.4199256456090337,0
33,0.37139720241647123,0
34,0.360738058199534,0
35,0.16627170550707315,0
36,0.6024614750022661,0
37,0.9897498992549987,0
38,0.3919263455389171,0
39,0.38738333139594133,0
40,0.14492336390167723,0
41,0.48997552250834525,0
42,0.5075982120307826,0
43,0.49388043885785604,0
44,0.5277778651611449,0
45,0.3555467215013231,0
46,0.3577633487224823,0
47,0.45233784720628123,0
48,0.5194236269511812,0
49,0.3227789148697762,0
50,0.14809743893330116,0
51,0.47845340480792,0
52,0.33541300714935307,0
53,0.4644710777387003,0
54,0.42670913400077815,0
55,0.359615049788456,0
56,0.48016371548801545,0
57,0.39670484180620946,0
58,0.499589345644114,0
59,0.3856004483820216,0
60,0.44366869050183805,0
61,0.4644691926592299,0
62,0.3358238194484506,0
63,0.535024906576421,0
64,0.4817803980463946,0
65,0.1426138920262729,0
66,0.4772606450767203,0
67,0.4473569387354307,0
68,0.5732143449927076,0
69,0.13881729537870935,0
70,0.17371254681667328,0
71,0.5098703669534491,0
72,0.41041964490451427,0
73,0.1323188437728426,0
74,0.17280425872214275,0
75,0.3924539072481179,0
76,0.3846713170706229,0
77,0.5106594752420365,0
78,0.5252117720077694,0
79,0.343213612125439,0
80,0.3830241079214667,0
81,0.428273692860398,0
82,0.4280046841788816,0
83,0.15089314641341978,0
84,0.158628427828544,0
85,0.5013626177369668,0
86,0.43433580363678714,0
87,0.5166531293197391,0
88,0.3656108933968197,0
89,0.16115297185845234,0
90,0.18493644101743933,0
91,0.29176926661033903,0
92,0.46496087539157976,0
93,0.467326126640903,0
94,0.15914911949030316,0
95,0.3420816201742604,0
96,0.4663479434331592,0
97,0.4779628080608978,0
98,0.4548902726439507,0
99,0.48143853785156093,0
100,0.5077680704875305,0
101,0.20230287524960214,0
102,0.39733632115411,0
103,0.30360419449247045,0
104,0.4637256631532965,0
105,0.3129777737191285,0
106,0.3295015955119322,0
107,0.4349556684848895,0
108,0.4834259307160582,0
109,0.5579236475505648,0
110,0.6012037795919641,0
111,0.17968824335856085,0
112,0.20020750571939072,0
113,0.4842799895636798,0
114,0.386023092981428,0
115,0.3972984714826632,0
116,0.44625593299692146,0
117,0.5337104681813881,0
118,0.4520939164690054,0
119,0.5453037651295469,0
120,0.34673778690616924,0
121,0.43484585740927234,0
122,0.44131736247834197,0
123,0.4314282381017497,0
124,0.5210643960341054,0
125,0.5313901186072686,0
126,0.396693600815204,0
127,0.4587465957500646,0
128,0.48733914602131123,0
129,0.4153146525588742,0
130,0.5194737735568508,0
131,0.5127394539131372,0
132,0.44654992865646925,0
133,0.39883121446389974,0
134,0.45702050320074494,0
135,0.45024748801124487,0
136,0.353239749382688,0
137,0.34352270067964324,0
138,0.5827634214103296,0
139,0.3359916673697361,0
140,0.16237381393345235,0
141,0.5904940799955827,0
142,0.3682016404854098,0
143,0.18514136120718036,0
144,0.6304721228034603,0
145,0.279562220231006,0
146,0.35016683605893634,0
147,0.341371662636958,0
148,0.36099320917191613,0
149,0.4322980631028621,0
150,0.3628748708487493,0
151,0.28327940563454174,0
152,0.3768473503468748,0
153,0.3417576935944714,0
154,0.5333475040386161,0
155,0.5377346670220706,0
156,0.15929751923300273,0
157,0.15632273171564526,0
158,0.15071533100986953,0
159,0.4022836488148141,0
160,0.35925558524428924,0
161,0.20928208235927417,0
162,0.49702720412285106,0
163,0.41845430929359867,0
164,0.4722497201174614,0
165,0.18100821483829554,0
166,0.182337701081432,0
167,0.1661842469196254,0
168,0.3758211778539704,0
169,0.32747747820549006,0
170,0.42556981916064823,0
171,0.15467149661078614,0
172,0.36312975194247893,0
173,0.45423443274140934,0
174,0.19351991681295264,0
175,0.1897174789505304,0
176,0.3322534347853306,0
177,0.4343761473362138,0
178,0.4753010982501156,0
179,0.1646267589981314,0
180,0.1697293553630763,0
181,0.505295493042092,0
182,0.37801000305639587,0
183,0.32352848500794434,0
184,0.1602353848414529,0
185,0.21685506407406224,0
186,0.3746756652938815,0
187,0.295500434401358,0
188,0.47779494998684446,0
189,0.4734374317892169,0
190,0.46463904751689394,0
191,0.39388292133151437,0
192,0.37003211864787183,0
193,0.4772589968819234,0
194,0.16517103205219127,0
195,0.1608166827984194,0
196,0.18400918979001132,0
