query_index,neighbor_index,similarity_score,group_label
1356,9738,0.9969539046287537,1
1356,11022,0.9936408996582031,1
1356,680,0.9933136105537415,0
1356,910,0.9932352900505066,0
1356,10537,0.9931403994560242,1
511,11303,0.9944901466369629,1
511,11022,0.9942260384559631,1
511,11016,0.9936178922653198,1
511,23,0.9935977458953857,0
511,39,0.993337869644165,0
15280,15661,0.9951888918876648,1
15280,14747,0.9931042194366455,1
15280,15797,0.992927610874176,1
15280,15872,0.9924490451812744,1
15280,5955,0.9923379421234131,0
15328,15011,0.9980846643447876,1
15328,2193,0.996047854423523,0
15328,5991,0.995969295501709,0
15328,4614,0.9956547617912292,0
15328,10830,0.9956059455871582,1
13156,5301,0.9953757524490356,0
13156,3878,0.9949348568916321,0
13156,15010,0.994726300239563,1
13156,5268,0.9946728944778442,0
13156,3254,0.9944288730621338,0
15471,5901,0.9989323616027832,0
15471,5980,0.9987384080886841,0
15471,5617,0.9960013628005981,0
15471,5849,0.9957937002182007,0
15471,15207,0.994408130645752,1
1611,1253,0.9956498146057129,0
1611,1822,0.9953981041908264,0
1611,2373,0.9950752258300781,0
1611,11802,0.9948215484619141,1
1611,2256,0.9947526454925537,0
9211,8873,0.9975199103355408,0
9211,17858,0.99644935131073,1
9211,18000,0.995934784412384,1
9211,8415,0.9954458475112915,0
9211,8579,0.9952020645141602,0
1451,2553,0.9996770620346069,0
1451,1836,0.9975842833518982,0
1451,1235,0.9975610971450806,0
1451,1040,0.9974693059921265,0
1451,1599,0.9974019527435303,0
4862,15574,0.9906048774719238,1
4862,17975,0.990414559841156,1
4862,17412,0.9891786575317383,1
4862,8038,0.9887984991073608,0
4862,8188,0.9882583618164062,0
9081,6039,0.9936385154724121,0
9081,6611,0.9928038120269775,0
9081,15523,0.9926959872245789,1
9081,9261,0.9926880598068237,0
9081,15203,0.9921807050704956,1
14662,13069,0.9956046342849731,1
14662,5625,0.9953396320343018,0
14662,17037,0.9945672750473022,1
14662,14194,0.9944019913673401,1
14662,5544,0.9941620826721191,0
9805,89,0.9746155738830566,0
9805,1408,0.9587855935096741,0
9805,10990,0.9585283398628235,1
9805,1060,0.9557022452354431,0
9805,10668,0.9553986191749573,1
5003,14203,0.9989515542984009,1
5003,15261,0.9975926876068115,1
5003,15653,0.9974740743637085,1
5003,14901,0.9974454641342163,1
5003,14460,0.997418999671936,1
13804,3823,0.9989733695983887,0
13804,13843,0.9983822703361511,1
13804,15444,0.9983799457550049,1
13804,15680,0.9970816969871521,1
13804,6109,0.9967139959335327,0
7112,4370,0.9926036596298218,0
7112,3807,0.99143385887146,0
7112,16826,0.9909510612487793,1
7112,16841,0.9897207617759705,1
7112,5007,0.9894939064979553,0
738,513,0.9970629215240479,0
738,10931,0.996002197265625,1
738,10492,0.9956667423248291,1
738,9684,0.9954378604888916,1
738,1714,0.9948797225952148,0
399,11271,0.9979811906814575,1
399,1277,0.9979697465896606,0
399,10221,0.9978112578392029,1
399,1042,0.9978058338165283,0
399,493,0.9977918863296509,0
11708,15649,0.9903944730758667,1
11708,11544,0.9897960424423218,1
11708,1265,0.9890797734260559,0
11708,1134,0.9887161254882812,0
11708,11839,0.9883676767349243,1
12114,11785,0.9981319308280945,1
12114,240,0.9957622289657593,0
12114,11952,0.9957098960876465,1
12114,14,0.994580864906311,0
12114,11585,0.9944843649864197,1
297,458,0.9961097240447998,0
297,10889,0.9957882165908813,1
297,10595,0.9955417513847351,1
297,11147,0.9953151941299438,1
297,9751,0.9952496290206909,1
9776,95,0.990597665309906,0
9776,1698,0.9901024699211121,0
9776,1140,0.9892210960388184,0
9776,10907,0.9891371726989746,1
9776,460,0.9883365035057068,0
14718,17809,0.9964856505393982,1
14718,7340,0.9963691234588623,0
14718,5833,0.9962148666381836,0
14718,17942,0.9960342645645142,1
14718,17289,0.9959558248519897,1
11478,10067,0.9977669715881348,1
11478,858,0.9961225986480713,0
11478,2088,0.9956822395324707,0
11478,11669,0.9956518411636353,1
11478,11180,0.9954590797424316,1
11692,11985,0.992195725440979,1
11692,557,0.988982081413269,0
11692,974,0.9880084991455078,0
11692,1602,0.9865982532501221,0
11692,10518,0.9863383769989014,1
4648,4931,0.995353639125824,0
4648,16450,0.9950466156005859,1
4648,12864,0.9947642087936401,1
4648,18041,0.9946660995483398,1
4648,13720,0.9945481419563293,1
10939,1174,0.9933251142501831,0
10939,10414,0.9932390451431274,1
10939,10192,0.9930386543273926,1
10939,11747,0.9929256439208984,1
10939,11670,0.9927754998207092,1
96,233,0.9960900545120239,0
96,566,0.9954854249954224,0
96,343,0.9953939318656921,0
96,9411,0.9953653812408447,1
96,10651,0.9950298070907593,1
3159,2845,0.9903814792633057,0
3159,10102,0.9884402751922607,1
3159,11651,0.9870709180831909,1
3159,10995,0.9870679378509521,1
3159,1660,0.9869480133056641,0
16457,13038,0.9949376583099365,1
16457,4110,0.9937726855278015,0
16457,13647,0.9936967492103577,1
16457,15074,0.9936510324478149,1
16457,4838,0.9935207366943359,0
2244,2046,0.995903730392456,0
2244,2596,0.9958374500274658,0
2244,1972,0.995469868183136,0
2244,1787,0.9953950643539429,0
2244,1816,0.9953857660293579,0
606,1157,0.9819314479827881,0
606,10281,0.9757468700408936,1
606,1597,0.975712776184082,0
606,907,0.973965048789978,0
606,1027,0.9732159972190857,0
49,272,0.9951989054679871,0
49,2683,0.99073326587677,0
49,7356,0.990256130695343,0
49,3086,0.9893494248390198,0
49,10024,0.9888600707054138,1
16867,746,0.9970316290855408,0
16867,1030,0.996619701385498,0
16867,1521,0.9965971112251282,0
16867,15744,0.9965670108795166,1
16867,1332,0.9964016675949097,0
5548,7292,0.9917739629745483,0
5548,6434,0.9916038513183594,0
5548,8489,0.9899410605430603,0
5548,5440,0.9898015260696411,0
5548,16154,0.9894767999649048,1
3170,12828,0.9987407326698303,1
3170,3025,0.9987056255340576,0
3170,10787,0.9979614019393921,1
3170,11196,0.9977579116821289,1
3170,3372,0.9977222084999084,0
17506,4590,0.9928282499313354,0
17506,13699,0.9923617839813232,1
17506,6977,0.9920037984848022,0
17506,14020,0.9917372465133667,1
17506,5308,0.9916633367538452,0
11119,10690,0.9990230202674866,1
11119,9724,0.9986141324043274,1
11119,922,0.9982649087905884,0
11119,144,0.9982104301452637,0
11119,691,0.9979421496391296,0
7282,7364,0.9982147216796875,0
7282,4618,0.9967185258865356,0
7282,7320,0.9953119158744812,0
7282,7029,0.9951615333557129,0
7282,7105,0.9950370788574219,0
15582,15516,0.9947789907455444,1
15582,15426,0.9934142231941223,1
15582,15638,0.9920470714569092,1
15582,10934,0.9905030727386475,1
15582,14672,0.9904447793960571,1
10003,772,0.9941750764846802,0
10003,1578,0.9939123392105103,0
10003,10309,0.9923508763313293,1
10003,11668,0.9922071695327759,1
10003,10930,0.9916015863418579,1
7633,4044,0.9960194826126099,0
7633,13037,0.9958069324493408,1
7633,7225,0.9949660897254944,0
7633,17822,0.9942649006843567,1
7633,14917,0.9939563274383545,1
13169,4464,0.9957840442657471,0
13169,3881,0.9942665100097656,0
13169,8829,0.994229257106781,0
13169,16432,0.9941132068634033,1
13169,5231,0.9941098093986511,0
11403,3388,0.9970153570175171,0
11403,3260,0.996998131275177,0
11403,13073,0.9969625473022461,1
11403,2811,0.9966483116149902,0
11403,11444,0.9965489506721497,1
149,10002,0.9962291717529297,1
149,514,0.9958761930465698,0
149,10828,0.9949206709861755,1
149,739,0.994719386100769,0
149,9729,0.9940032958984375,1
5411,5360,0.9973819255828857,0
5411,17932,0.9946149587631226,1
5411,6134,0.9945629835128784,0
5411,17934,0.9942851066589355,1
5411,8930,0.9942606687545776,0
9495,10512,0.9974824786186218,1
9495,11395,0.9974195957183838,1
9495,10954,0.9972506165504456,1
9495,10736,0.9970897436141968,1
9495,11588,0.9966281056404114,1
12103,11930,0.997992753982544,1
12103,12518,0.9973698854446411,1
12103,12290,0.9972019195556641,1
12103,12464,0.9971872568130493,1
12103,11490,0.9969497919082642,1
10099,10864,0.9624063968658447,1
10099,184,0.9611110687255859,0
10099,9590,0.9609948396682739,1
10099,10045,0.9609306454658508,1
10099,10463,0.957882821559906,1
8687,2983,0.9914187788963318,0
8687,14758,0.991317629814148,1
8687,15120,0.9903411865234375,1
8687,8261,0.9900503158569336,0
8687,6510,0.9897761344909668,0
